github.com/AlDanial/cloc v 2.06  T=0.34 s (1995.2 files/s, 92485.6 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                              blank        comment           code
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/TituloRecebidoCompletoDtoFactory.java                                                    2              0             63
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/factories/TituloAReceberCompletoDtoFactory.java                                                    2              0             62
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/services/impl/PasswordRecoveryServiceImpl.java                                          7              0             61
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/services/impl/CookieServiceImpl.java                                      10              1             61
./frontend/admin/src/composables/useBoletoDownloader.ts                                                                                                              14              5             60
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/controllers/AuthControllerExceptionHandler.java                                         9              0             59
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/config/ArencoClientesSecurityConfiguration.java                                                 5              0             59
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedGroupPermissionRelationsStrategyImpl.java                            12              0             59
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/dtos/agreements/TituloRecebidoCompletoDto.java                                                     2              0             59
./backend/notifications/src/main/java/br/com/arenco/notifications/config/ArencoNotificationsSecurityConfiguration.java                                                5              0             59
./frontend/admin/src/router/index.ts                                                                                                                                 16             15             59
./backend/arenco-cronjobs/src/main/java/br/com/arenco/arenco_cronjobs/config/AppConfig.java                                                                          12              0             58
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedGroupHierarchyRelationsStrategyImpl.java                             11              0             58
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/controllers/AuthManagerController.java                                                  7              0             57
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedUsersAndGroupsRelationStrategyImpl.java                              10              0             57
./backend/notifications/src/main/java/br/com/arenco/notifications/facades/impl/ArencoMessengerSettingsFacadeImpl.java                                                 7              0             57
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedContactsStrategyImpl.java                                             8              0             56
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/facades/admin/impl/ArencoBoletosFacadeImpl.java                                               6              0             55
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/dtos/agreements/TituloAReceberCompletoDto.java                                                     2              0             55
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/facades/admin/impl/PaymentSlipSettingsFacadeImpl.java                                         7              0             54
./backend/libs/arenco-models/pom.xml                                                                                                                                  3              0             53
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/services/impl/DataSeederServiceImpl.java                                                  8              0             52
./frontend/admin/src/router/routes.ts                                                                                                                                16             10             52
./frontend/clientes/eslint.config.js                                                                                                                                 11             32             51
./deploy/autenticacao/deploy.sh                                                                                                                                      15              3             50
./deploy/clientes/deploy.sh                                                                                                                                          15              3             50
./deploy/contratos/debug.sh                                                                                                                                          10              7             50
./deploy/contratos/deploy.sh                                                                                                                                         15              3             50
./deploy/cronjobs/debug.sh                                                                                                                                           10              6             50
./deploy/cronjobs/deploy.sh                                                                                                                                          15              3             50
./deploy/notifications/deploy.sh                                                                                                                                     15              3             50
./.github/workflows/deploy-autenticacao.yml                                                                                                                          15              0             49
./.github/workflows/deploy-clientes.yml                                                                                                                              15              0             49
./.github/workflows/deploy-contratos.yml                                                                                                                             15              0             49
./.github/workflows/deploy-cronjobs.yml                                                                                                                              15              0             49
./.github/workflows/deploy-notifications.yml                                                                                                                         15              0             49
./backend/notifications/src/main/java/br/com/arenco/notifications/controllers/ArencoMessengerBetaUsersController.java                                                 5              0             49
./deploy/autenticacao/debug.sh                                                                                                                                       15             10             49
./deploy/autenticacao/run.sh                                                                                                                                         14             10             49
./deploy/clientes/debug.sh                                                                                                                                           13             10             49
./deploy/cronjobs/run.sh                                                                                                                                             13             10             49
./backend/libs/arenco-autenticacao-lib/src/main/java/br/com/arenco/arenco_autenticacao_lib/config/RateLimitAutoConfiguration.java                                     5              0             48
./backend/libs/messenger_lib/src/main/java/br/com/arenco/messenger_lib/services/impl/BetaUserServiceImpl.java                                                         7              0             48
./deploy/notifications/debug.sh                                                                                                                                      12             10             48
./frontend/clientes/src/router/index.ts                                                                                                                              15             14             48
./frontend/clientes/src/router/routes.ts                                                                                                                              7             14             48
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/services/impl/OtpLogServiceImpl.java                                                    4              0             47
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedMessengerSettingsStrategyImpl.java                                    6              0             47
./deploy/data-seeder/debug.sh                                                                                                                                        10              6             47
